ENCODERREADING,PICK_ENCODERREADING,ANGLE,TORQUE,Message
0.585,0,4025.4,1.493,WX11D690N2EC
0.75,-0.004,4284.3,1.491,WX11D690NUEE
0.606,0,4020.3,1.496,WX11D690NY27
0.731,0,4281.4,1.495,WX11D690NEZV
0.64,0,4131.6,1.498,WX11D690NK2X
0.674,0,4163,1.494,WX11D690N4TT
0.692,0,4201.2,1.494,WX11D690NCET
0.607,-0.002,4043.8,1.487,WX11D690NNN7
0.66,0,4195.2,1.494,WX11D690N433
0.579,0,4017,1.492,WX11D690N6YK
0.576,0,3998.9,1.495,WX11D690NATX
0.608,-0.001,4049.2,1.493,WX11D690N090
0.706,0,4183.8,1.493,WX21D696Z7SN
0.681,0,4208.5,1.494,WX11D690N4VK
0.598,0,4038.8,1.496,WX11D690NC7D
0,0,0,0,WX11D690NPT6
0.775,-0.001,4305,1.493,WX11D690NT2U
0.65,-0.002,4077.1,1.491,WX21D696ZRRZ
0.588,0,4046.6,1.494,WX11D690N56U
0.648,0,4116.9,1.496,WX11D690NH32
0.697,-0.002,4212.1,1.493,WX11D690NK58
0.739,-0.007,4312.9,1.489,WX11D690NK32
0.688,0,4165.9,1.496,WX11D690NTYK
0.618,-0.001,4045.9,1.493,WX11D690NCJ6
0.608,-0.001,4047.5,1.493,WX11D690NV4Z
0.598,-0.001,4025.4,1.494,WX11D690NUY9
0.737,-0.002,4235.9,1.493,WX11D690N8TH
0.599,-0.002,4000.2,1.498,WX11D690N6FH
0.728,-0.002,4259.1,1.491,WX11D690NZ6Y
0.691,-0.001,4172,1.495,WX11D690N51R
0.759,-0.001,4268.7,1.496,WX11D690NRXR
0.786,-0.002,4317.1,1.495,WX11D690N3UT
0.708,-0.003,4207.8,1.499,WX11D690N3AR
0.604,-0.004,4031.1,1.496,WX11D690NT8K
0.569,-0.001,3982.2,1.493,WX11D690NL36
0.617,-0.003,4021.8,1.495,WX11D690NL91
0.743,-0.001,4266.4,1.494,WX11D690NA9C
0.609,0,4037.1,1.495,WX11D690NCRZ
0.603,0,4032.1,1.496,WX11D690NVXP
0.603,0,4052.2,1.493,WX11D690NXV0
0.677,0,4167.6,1.493,WX11D690N6C4
0.574,-0.001,3975.2,1.494,WX21D696ZAPN
1.398,-0.002,4301.5,1.492,WX11D690N14A
0.618,-0.001,4043.2,1.495,WX11D690N3F2
0.568,-0.001,3966.7,1.493,WX11D690N1CJ
0.663,0,4125.2,1.493,WX11D690NSAJ
0.59,0,4006.7,1.495,WX11D690NDKS
0.7,0,4187.5,1.493,WX11D690N5TE
0.624,-0.004,4061.3,1.493,WX11D690N646
0.623,-0.002,4110.4,1.498,WX11D690NF6H
0.754,-0.007,4316.5,1.496,WX11D690N5DT
0.641,0,4139.2,1.494,WX11D690NCKE
0.749,-0.01,4265,1.493,WX11D690NLL8
0.553,-0.002,3960.5,1.496,WX11D690N749
0.743,-0.002,4273.7,1.495,WX11D690NS0T
0.665,-0.001,4143.8,1.498,WX11D69LJ1SJ
0.763,-0.002,4292.8,1.494,WX11D690NS91
0.681,0,4156.1,1.494,WX11D690NK9A
0.677,0,4188.5,1.491,WX11D690NZ7Y
0.725,-0.001,4263.4,1.495,WX11D690NS61
0.72,0,4278.8,1.495,WX11D690N01Z
0.621,-0.002,4042,1.494,WX11D690NJP1
0.593,-0.001,4007.7,1.495,WX11D690NZ8R
0.647,-0.002,4148.7,1.496,WX11D690NX11
1.392,-0.003,4295.8,1.493,WX11D690N9Y1
0.673,0,4157.6,1.496,WX11D690N6P5
0.6,-0.002,4042.7,1.488,WX11D690N63J
0.646,-0.001,4102.1,1.488,WX11D690N7Z6
0.688,-0.002,4233,1.495,WX11D690ND58
0.68,-0.002,4186,1.493,WX11D690NXTD
0.589,0,4007.5,1.493,WX11D690NJ8Z
0.672,0,4199.8,1.495,WX11D690NATJ
0.588,0,4051.3,1.493,WX11D690NSJ9
0.616,0,4041.7,1.494,WX11D690NDDP
0.619,0,4094.3,1.494,WX11D690NNKD
0.56,0,3953.7,1.493,WX11D690N4AA
0.722,-0.005,4258.5,1.494,WX11D690N8Y4
0.656,-0.004,4089.8,1.493,WX11D690N9JZ
